,statement,status
26077,feeling off lately,Suicidal
26078,feeling off lately,Suicidal
26079,feeling off lately,Suicidal
26080,feeling off lately,Suicidal
26081,want to stay in bed all day,Depression
26082,want to stay in bed all day,Depression
26083,everything feels pointless,Depression
26084,everything feels pointless,Depression
26085,feeling off lately,Suicidal
26086,feeling low and withdrawn,Depression
26087,feeling off lately,Suicidal
26088,feeling off lately,Suicidal
26089,no motivation to get up,Depression
26090,feeling off lately,Suicidal
26091,everything feels heavy,Depression
26092,no appetite to eat,Depression
26093,feeling off lately,Suicidal
26094,feeling off lately,Suicidal
26095,feeling off lately,Suicidal
26096,no motivation to get up,Depression
26097,feeling off lately,Suicidal
26098,feeling off lately,Suicidal
26099,no appetite to eat,Depression
26100,everything feels heavy,Depression
26101,feeling off lately,Suicidal
26102,feeling empty inside,Depression
26103,want to stay in bed all day,Depression
26104,feeling off lately,Suicidal
26105,everything feels pointless,Depression
26106,hard to smile lately,Depression
26107,feeling off lately,Suicidal
26108,no motivation to get up,Depression
26109,feeling off lately,Suicidal
26110,feeling off lately,Suicidal
26111,feeling empty inside,Depression
26112,hard to smile lately,Depression
26113,hard to smile lately,Depression
26114,feeling off lately,Suicidal
26115,feeling low and withdrawn,Depression
26116,feeling off lately,Suicidal
26117,feeling off lately,Suicidal
26118,feeling off lately,Suicidal
26119,feeling off lately,Suicidal
26120,feeling off lately,Suicidal
26121,feeling off lately,Suicidal
26122,feeling off lately,Suicidal
26123,no appetite to eat,Depression
26124,feeling off lately,Suicidal
26125,feeling low and withdrawn,Depression
26126,no motivation to get up,Depression
26127,feeling empty inside,Depression
26128,feeling off lately,Suicidal
26129,everything feels heavy,Depression
26130,everything feels heavy,Depression
26131,everything feels heavy,Depression
26132,feeling empty inside,Depression
26133,feeling off lately,Suicidal
26134,no motivation to get up,Depression
26135,feeling off lately,Suicidal
26136,no appetite to eat,Depression
26137,feeling off lately,Suicidal
26138,feeling empty inside,Depression
26139,feeling off lately,Suicidal
26140,no appetite to eat,Depression
26141,feeling off lately,Suicidal
26142,don't enjoy things anymore,Depression
26143,feeling off lately,Suicidal
26144,don't enjoy things anymore,Depression
26145,everything feels heavy,Depression
26146,feeling off lately,Suicidal
26147,want to stay in bed all day,Depression
26148,everything feels pointless,Depression
26149,feeling low and withdrawn,Depression
26150,feeling off lately,Suicidal
26151,feeling off lately,Suicidal
26152,feeling off lately,Suicidal
26153,feeling empty inside,Depression
26154,want to stay in bed all day,Depression
26155,feeling off lately,Suicidal
26156,feeling off lately,Suicidal
26157,tired even after sleep,Depression
26158,no appetite to eat,Depression
26159,feeling off lately,Suicidal
26160,no appetite to eat,Depression
26161,feeling off lately,Suicidal
26162,feeling off lately,Suicidal
26163,feeling off lately,Suicidal
26164,tired even after sleep,Depression
26165,want to stay in bed all day,Depression
26166,everything feels heavy,Depression
26167,feeling off lately,Suicidal
26168,feeling off lately,Suicidal
26169,feeling off lately,Suicidal
26170,feeling off lately,Suicidal
26171,feeling off lately,Suicidal
26172,feeling low and withdrawn,Depression
26173,everything feels pointless,Depression
26174,feeling low and withdrawn,Depression
26175,feeling off lately,Suicidal
26176,want to stay in bed all day,Depression
26177,feeling off lately,Suicidal
26178,feeling off lately,Suicidal
26179,hard to smile lately,Depression
26180,hard to smile lately,Depression
26181,don't enjoy things anymore,Depression
26182,everything feels pointless,Depression
26183,no motivation to get up,Depression
26184,no motivation to get up,Depression
26185,feeling off lately,Suicidal
26186,want to stay in bed all day,Depression
26187,feeling off lately,Suicidal
26188,everything feels pointless,Depression
26189,feeling off lately,Suicidal
26190,feeling off lately,Suicidal
26191,feeling off lately,Suicidal
26192,no appetite to eat,Depression
26193,tired even after sleep,Depression
26194,hard to smile lately,Depression
26195,feeling off lately,Suicidal
26196,feeling empty inside,Depression
26197,feeling empty inside,Depression
26198,feeling off lately,Suicidal
26199,feeling off lately,Suicidal
26200,tired even after sleep,Depression
26201,feeling off lately,Suicidal
26202,feeling low and withdrawn,Depression
26203,feeling off lately,Suicidal
26204,tired even after sleep,Depression
26205,feeling off lately,Suicidal
26206,feeling off lately,Suicidal
26207,hard to smile lately,Depression
26208,feeling off lately,Suicidal
26209,want to stay in bed all day,Depression
26210,feeling off lately,Suicidal
26211,feeling off lately,Suicidal
26212,feeling off lately,Suicidal
26213,feeling off lately,Suicidal
26214,everything feels pointless,Depression
26215,everything feels pointless,Depression
26216,want to stay in bed all day,Depression
26217,want to stay in bed all day,Depression
26218,want to stay in bed all day,Depression
26219,feeling off lately,Suicidal
26220,feeling off lately,Suicidal
26221,feeling off lately,Suicidal
26222,hard to smile lately,Depression
26223,feeling off lately,Suicidal
26224,don't enjoy things anymore,Depression
26225,don't enjoy things anymore,Depression
26226,feeling off lately,Suicidal
26227,feeling low and withdrawn,Depression
26228,feeling off lately,Suicidal
26229,everything feels heavy,Depression
26230,feeling empty inside,Depression
26231,feeling off lately,Suicidal
26232,everything feels heavy,Depression
26233,feeling off lately,Suicidal
26234,no appetite to eat,Depression
26235,feeling off lately,Suicidal
26236,don't enjoy things anymore,Depression
26237,feeling off lately,Suicidal
26238,feeling off lately,Suicidal
26239,don't enjoy things anymore,Depression
26240,tired even after sleep,Depression
26241,feeling off lately,Suicidal
26242,feeling off lately,Suicidal
26243,feeling off lately,Suicidal
26244,feeling off lately,Suicidal
26245,want to stay in bed all day,Depression
26246,hard to smile lately,Depression
26247,no motivation to get up,Depression
26248,no appetite to eat,Depression
26249,feeling low and withdrawn,Depression
26250,feeling empty inside,Depression
26251,feeling low and withdrawn,Depression
26252,no motivation to get up,Depression
26253,feeling off lately,Suicidal
26254,feeling off lately,Suicidal
26255,feeling off lately,Suicidal
26256,feeling off lately,Suicidal
26257,feeling off lately,Suicidal
26258,want to stay in bed all day,Depression
26259,feeling low and withdrawn,Depression
26260,feeling low and withdrawn,Depression
26261,feeling off lately,Suicidal
26262,no appetite to eat,Depression
26263,feeling off lately,Suicidal
26264,feeling off lately,Suicidal
26265,want to stay in bed all day,Depression
26266,feeling off lately,Suicidal
26267,everything feels heavy,Depression
26268,tired even after sleep,Depression
26269,everything feels pointless,Depression
26270,feeling off lately,Suicidal
26271,don't enjoy things anymore,Depression
26272,feeling off lately,Suicidal
26273,no motivation to get up,Depression
26274,feeling off lately,Suicidal
26275,want to stay in bed all day,Depression
26276,feeling off lately,Suicidal
26277,feeling off lately,Suicidal
26278,no motivation to get up,Depression
26279,feeling low and withdrawn,Depression
26280,feeling off lately,Suicidal
26281,no motivation to get up,Depression
26282,feeling empty inside,Depression
26283,feeling off lately,Suicidal
26284,tired even after sleep,Depression
26285,feeling off lately,Suicidal
26286,no motivation to get up,Depression
26287,no motivation to get up,Depression
26288,feeling off lately,Suicidal
26289,everything feels heavy,Depression
26290,no appetite to eat,Depression
26291,everything feels pointless,Depression
26292,feeling off lately,Suicidal
26293,feeling off lately,Suicidal
26294,don't enjoy things anymore,Depression
26295,tired even after sleep,Depression
26296,everything feels heavy,Depression
26297,feeling off lately,Suicidal
26298,feeling off lately,Suicidal
26299,feeling off lately,Suicidal
26300,don't enjoy things anymore,Depression
26301,feeling off lately,Suicidal
26302,everything feels heavy,Depression
26303,hard to smile lately,Depression
26304,everything feels pointless,Depression
26305,hard to smile lately,Depression
26306,no appetite to eat,Depression
26307,tired even after sleep,Depression
26308,feeling off lately,Suicidal
26309,feeling off lately,Suicidal
26310,everything feels heavy,Depression
26311,feeling off lately,Suicidal
26312,feeling off lately,Suicidal
26313,everything feels pointless,Depression
26314,everything feels pointless,Depression
26315,feeling off lately,Suicidal
26316,want to stay in bed all day,Depression
26317,no motivation to get up,Depression
26318,feeling off lately,Suicidal
26319,feeling off lately,Suicidal
26320,feeling off lately,Suicidal
26321,hard to smile lately,Depression
26322,no motivation to get up,Depression
26323,feeling empty inside,Depression
26324,everything feels pointless,Depression
26325,everything feels heavy,Depression
26326,feeling off lately,Suicidal
26327,no appetite to eat,Depression
26328,feeling off lately,Suicidal
26329,no appetite to eat,Depression
26330,feeling off lately,Suicidal
26331,tired even after sleep,Depression
26332,feeling off lately,Suicidal
26333,no motivation to get up,Depression
26334,feeling off lately,Suicidal
26335,feeling off lately,Suicidal
26336,feeling off lately,Suicidal
26337,feeling off lately,Suicidal
26338,feeling off lately,Suicidal
26339,feeling low and withdrawn,Depression
26340,tired even after sleep,Depression
26341,feeling off lately,Suicidal
26342,feeling off lately,Suicidal
26343,feeling empty inside,Depression
26344,everything feels pointless,Depression
26345,feeling off lately,Suicidal
26346,everything feels pointless,Depression
26347,feeling off lately,Suicidal
26348,feeling off lately,Suicidal
26349,feeling off lately,Suicidal
26350,feeling off lately,Suicidal
26351,don't enjoy things anymore,Depression
26352,feeling off lately,Suicidal
26353,hard to smile lately,Depression
26354,no motivation to get up,Depression
26355,everything feels heavy,Depression
26356,everything feels heavy,Depression
26357,feeling off lately,Suicidal
26358,feeling off lately,Suicidal
26359,feeling off lately,Suicidal
26360,no appetite to eat,Depression
26361,want to stay in bed all day,Depression
26362,no motivation to get up,Depression
26363,feeling off lately,Suicidal
26364,feeling off lately,Suicidal
26365,no motivation to get up,Depression
26366,no appetite to eat,Depression
26367,everything feels pointless,Depression
26368,feeling off lately,Suicidal
26369,feeling off lately,Suicidal
26370,want to stay in bed all day,Depression
26371,feeling off lately,Suicidal
26372,feeling off lately,Suicidal
26373,feeling off lately,Suicidal
26374,tired even after sleep,Depression
26375,hard to smile lately,Depression
26376,feeling off lately,Suicidal
26377,feeling off lately,Suicidal
26378,want to stay in bed all day,Depression
26379,feeling off lately,Suicidal
26380,feeling off lately,Suicidal
26381,feeling low and withdrawn,Depression
26382,everything feels heavy,Depression
26383,don't enjoy things anymore,Depression
26384,feeling off lately,Suicidal
26385,feeling off lately,Suicidal
26386,feeling off lately,Suicidal
26387,feeling off lately,Suicidal
26388,feeling low and withdrawn,Depression
26389,feeling off lately,Suicidal
26390,feeling off lately,Suicidal
26391,want to stay in bed all day,Depression
26392,feeling off lately,Suicidal
26393,feeling off lately,Suicidal
26394,feeling empty inside,Depression
26395,feeling off lately,Suicidal
26396,feeling off lately,Suicidal
26397,feeling off lately,Suicidal
26398,feeling off lately,Suicidal
26399,no appetite to eat,Depression
26400,feeling off lately,Suicidal
26401,feeling off lately,Suicidal
26402,feeling off lately,Suicidal
26403,feeling off lately,Suicidal
26404,don't enjoy things anymore,Depression
26405,hard to smile lately,Depression
26406,feeling off lately,Suicidal
26407,feeling off lately,Suicidal
26408,feeling off lately,Suicidal
26409,no appetite to eat,Depression
26410,don't enjoy things anymore,Depression
26411,feeling off lately,Suicidal
26412,hard to smile lately,Depression
26413,feeling off lately,Suicidal
26414,feeling off lately,Suicidal
26415,feeling off lately,Suicidal
26416,feeling empty inside,Depression
26417,no motivation to get up,Depression
26418,feeling off lately,Suicidal
26419,feeling low and withdrawn,Depression
26420,feeling off lately,Suicidal
26421,no motivation to get up,Depression
26422,everything feels heavy,Depression
26423,feeling off lately,Suicidal
26424,don't enjoy things anymore,Depression
26425,feeling off lately,Suicidal
26426,no motivation to get up,Depression
26427,hard to smile lately,Depression
26428,feeling off lately,Suicidal
26429,feeling off lately,Suicidal
26430,feeling off lately,Suicidal
26431,feeling empty inside,Depression
26432,feeling off lately,Suicidal
26433,everything feels heavy,Depression
26434,hard to smile lately,Depression
26435,feeling off lately,Suicidal
26436,feeling off lately,Suicidal
26437,feeling off lately,Suicidal
26438,feeling off lately,Suicidal
26439,feeling off lately,Suicidal
26440,feeling off lately,Suicidal
26441,feeling off lately,Suicidal
26442,feeling off lately,Suicidal
26443,no motivation to get up,Depression
26444,feeling off lately,Suicidal
26445,feeling low and withdrawn,Depression
26446,no motivation to get up,Depression
26447,feeling off lately,Suicidal
26448,no motivation to get up,Depression
26449,feeling off lately,Suicidal
26450,no motivation to get up,Depression
26451,don't enjoy things anymore,Depression
26452,feeling low and withdrawn,Depression
26453,feeling off lately,Suicidal
26454,feeling off lately,Suicidal
26455,feeling empty inside,Depression
26456,feeling off lately,Suicidal
26457,tired even after sleep,Depression
26458,tired even after sleep,Depression
26459,no motivation to get up,Depression
26460,tired even after sleep,Depression
26461,feeling low and withdrawn,Depression
26462,feeling off lately,Suicidal
26463,feeling off lately,Suicidal
26464,no motivation to get up,Depression
26465,feeling off lately,Suicidal
26466,feeling off lately,Suicidal
26467,everything feels heavy,Depression
26468,feeling off lately,Suicidal
26469,feeling off lately,Suicidal
26470,hard to smile lately,Depression
26471,want to stay in bed all day,Depression
26472,feeling off lately,Suicidal
26473,feeling off lately,Suicidal
26474,hard to smile lately,Depression
26475,everything feels heavy,Depression
26476,feeling off lately,Suicidal
26477,feeling off lately,Suicidal
26478,feeling off lately,Suicidal
26479,everything feels pointless,Depression
26480,feeling off lately,Suicidal
26481,feeling off lately,Suicidal
26482,feeling empty inside,Depression
26483,everything feels pointless,Depression
26484,feeling off lately,Suicidal
26485,tired even after sleep,Depression
26486,feeling off lately,Suicidal
26487,feeling off lately,Suicidal
26488,feeling off lately,Suicidal
26489,feeling off lately,Suicidal
26490,feeling off lately,Suicidal
26491,feeling off lately,Suicidal
26492,feeling off lately,Suicidal
26493,feeling off lately,Suicidal
26494,feeling off lately,Suicidal
26495,feeling off lately,Suicidal
26496,feeling off lately,Suicidal
26497,feeling off lately,Suicidal
26498,no appetite to eat,Depression
26499,feeling off lately,Suicidal
26500,feeling low and withdrawn,Depression
26501,feeling off lately,Suicidal
26502,feeling off lately,Suicidal
26503,feeling empty inside,Depression
26504,no motivation to get up,Depression
26505,feeling empty inside,Depression
26506,feeling off lately,Suicidal
26507,want to stay in bed all day,Depression
26508,everything feels pointless,Depression
26509,feeling off lately,Suicidal
26510,feeling off lately,Suicidal
26511,feeling off lately,Suicidal
26512,feeling off lately,Suicidal
26513,feeling low and withdrawn,Depression
26514,feeling off lately,Suicidal
26515,feeling off lately,Suicidal
26516,tired even after sleep,Depression
26517,feeling off lately,Suicidal
26518,feeling off lately,Suicidal
26519,tired even after sleep,Depression
26520,feeling off lately,Suicidal
26521,want to stay in bed all day,Depression
26522,feeling off lately,Suicidal
26523,don't enjoy things anymore,Depression
26524,feeling off lately,Suicidal
26525,feeling off lately,Suicidal
26526,feeling off lately,Suicidal
26527,feeling low and withdrawn,Depression
26528,feeling off lately,Suicidal
26529,hard to smile lately,Depression
26530,feeling off lately,Suicidal
26531,everything feels pointless,Depression
26532,no appetite to eat,Depression
26533,feeling off lately,Suicidal
26534,feeling off lately,Suicidal
26535,feeling off lately,Suicidal
26536,feeling off lately,Suicidal
26537,feeling off lately,Suicidal
26538,feeling off lately,Suicidal
26539,feeling off lately,Suicidal
26540,feeling off lately,Suicidal
26541,everything feels heavy,Depression
26542,feeling off lately,Suicidal
26543,feeling off lately,Suicidal
26544,everything feels pointless,Depression
26545,everything feels heavy,Depression
26546,feeling off lately,Suicidal
26547,feeling off lately,Suicidal
26548,no motivation to get up,Depression
26549,don't enjoy things anymore,Depression
26550,feeling off lately,Suicidal
26551,hard to smile lately,Depression
26552,feeling empty inside,Depression
26553,feeling off lately,Suicidal
26554,feeling off lately,Suicidal
26555,feeling off lately,Suicidal
26556,feeling off lately,Suicidal
26557,feeling off lately,Suicidal
26558,feeling off lately,Suicidal
26559,everything feels pointless,Depression
26560,feeling off lately,Suicidal
26561,feeling off lately,Suicidal
26562,everything feels heavy,Depression
26563,everything feels pointless,Depression
26564,everything feels pointless,Depression
26565,feeling off lately,Suicidal
26566,everything feels pointless,Depression
26567,don't enjoy things anymore,Depression
26568,feeling off lately,Suicidal
26569,feeling empty inside,Depression
26570,feeling off lately,Suicidal
26571,feeling off lately,Suicidal
26572,feeling off lately,Suicidal
26573,no motivation to get up,Depression
26574,don't enjoy things anymore,Depression
26575,hard to smile lately,Depression
26576,feeling low and withdrawn,Depression
26577,feeling off lately,Suicidal
26578,feeling off lately,Suicidal
26579,don't enjoy things anymore,Depression
26580,feeling off lately,Suicidal
26581,feeling off lately,Suicidal
26582,feeling off lately,Suicidal
26583,feeling off lately,Suicidal
26584,feeling off lately,Suicidal
26585,feeling off lately,Suicidal
26586,tired even after sleep,Depression
26587,feeling empty inside,Depression
26588,feeling off lately,Suicidal
26589,no motivation to get up,Depression
26590,feeling off lately,Suicidal
26591,hard to smile lately,Depression
26592,feeling off lately,Suicidal
26593,everything feels pointless,Depression
26594,feeling off lately,Suicidal
26595,feeling off lately,Suicidal
26596,feeling off lately,Suicidal
26597,feeling off lately,Suicidal
26598,want to stay in bed all day,Depression
26599,feeling off lately,Suicidal
26600,feeling off lately,Suicidal
26601,hard to smile lately,Depression
26602,don't enjoy things anymore,Depression
26603,feeling off lately,Suicidal
26604,feeling low and withdrawn,Depression
26605,feeling off lately,Suicidal
26606,don't enjoy things anymore,Depression
26607,feeling off lately,Suicidal
26608,feeling off lately,Suicidal
26609,feeling off lately,Suicidal
26610,want to stay in bed all day,Depression
26611,feeling off lately,Suicidal
26612,tired even after sleep,Depression
26613,everything feels heavy,Depression
26614,everything feels pointless,Depression
26615,feeling off lately,Suicidal
26616,feeling off lately,Suicidal
26617,feeling off lately,Suicidal
26618,feeling off lately,Suicidal
26619,feeling off lately,Suicidal
26620,hard to smile lately,Depression
26621,feeling off lately,Suicidal
26622,feeling off lately,Suicidal
26623,tired even after sleep,Depression
26624,don't enjoy things anymore,Depression
26625,feeling off lately,Suicidal
26626,feeling off lately,Suicidal
26627,feeling off lately,Suicidal
26628,feeling off lately,Suicidal
26629,feeling off lately,Suicidal
26630,feeling low and withdrawn,Depression
26631,everything feels pointless,Depression
26632,everything feels pointless,Depression
26633,everything feels heavy,Depression
26634,everything feels heavy,Depression
26635,no motivation to get up,Depression
26636,feeling off lately,Suicidal
26637,feeling low and withdrawn,Depression
26638,no appetite to eat,Depression
26639,feeling off lately,Suicidal
26640,don't enjoy things anymore,Depression
26641,hard to smile lately,Depression
26642,feeling off lately,Suicidal
26643,feeling off lately,Suicidal
26644,feeling off lately,Suicidal
26645,feeling off lately,Suicidal
26646,feeling off lately,Suicidal
26647,feeling off lately,Suicidal
26648,feeling off lately,Suicidal
26649,feeling off lately,Suicidal
26650,feeling off lately,Suicidal
26651,tired even after sleep,Depression
26652,feeling off lately,Suicidal
26653,don't enjoy things anymore,Depression
26654,feeling off lately,Suicidal
26655,no motivation to get up,Depression
26656,feeling low and withdrawn,Depression
26657,feeling off lately,Suicidal
26658,everything feels pointless,Depression
26659,feeling off lately,Suicidal
26660,feeling off lately,Suicidal
26661,feeling off lately,Suicidal
26662,feeling off lately,Suicidal
26663,feeling off lately,Suicidal
26664,everything feels pointless,Depression
26665,feeling off lately,Suicidal
26666,feeling empty inside,Depression
26667,feeling off lately,Suicidal
26668,feeling off lately,Suicidal
26669,feeling low and withdrawn,Depression
26670,feeling off lately,Suicidal
26671,feeling off lately,Suicidal
26672,hard to smile lately,Depression
26673,everything feels heavy,Depression
26674,no appetite to eat,Depression
26675,feeling off lately,Suicidal
26676,feeling off lately,Suicidal
26677,feeling off lately,Suicidal
26678,feeling off lately,Suicidal
26679,feeling off lately,Suicidal
26680,feeling off lately,Suicidal
26681,don't enjoy things anymore,Depression
26682,everything feels heavy,Depression
26683,want to stay in bed all day,Depression
26684,want to stay in bed all day,Depression
26685,hard to smile lately,Depression
26686,feeling off lately,Suicidal
26687,feeling off lately,Suicidal
26688,feeling off lately,Suicidal
26689,no appetite to eat,Depression
26690,feeling off lately,Suicidal
26691,everything feels pointless,Depression
26692,feeling off lately,Suicidal
26693,don't enjoy things anymore,Depression
26694,feeling off lately,Suicidal
26695,feeling low and withdrawn,Depression
26696,feeling off lately,Suicidal
26697,feeling off lately,Suicidal
26698,no motivation to get up,Depression
26699,feeling off lately,Suicidal
26700,everything feels pointless,Depression
26701,everything feels heavy,Depression
26702,want to stay in bed all day,Depression
26703,feeling off lately,Suicidal
26704,feeling off lately,Suicidal
26705,feeling off lately,Suicidal
26706,feeling off lately,Suicidal
26707,feeling off lately,Suicidal
26708,feeling off lately,Suicidal
26709,feeling empty inside,Depression
26710,feeling low and withdrawn,Depression
26711,hard to smile lately,Depression
26712,feeling off lately,Suicidal
26713,tired even after sleep,Depression
26714,feeling empty inside,Depression
26715,everything feels pointless,Depression
26716,no motivation to get up,Depression
26717,feeling off lately,Suicidal
26718,feeling off lately,Suicidal
26719,feeling low and withdrawn,Depression
26720,feeling off lately,Suicidal
26721,everything feels heavy,Depression
26722,feeling off lately,Suicidal
26723,feeling off lately,Suicidal
26724,feeling off lately,Suicidal
26725,no motivation to get up,Depression
26726,feeling off lately,Suicidal
26727,feeling off lately,Suicidal
26728,no appetite to eat,Depression
26729,feeling low and withdrawn,Depression
26730,feeling off lately,Suicidal
26731,feeling off lately,Suicidal
26732,feeling off lately,Suicidal
26733,feeling off lately,Suicidal
26734,feeling off lately,Suicidal
26735,feeling off lately,Suicidal
26736,tired even after sleep,Depression
26737,no appetite to eat,Depression
26738,feeling off lately,Suicidal
26739,everything feels heavy,Depression
26740,feeling off lately,Suicidal
26741,feeling off lately,Suicidal
26742,everything feels heavy,Depression
26743,don't enjoy things anymore,Depression
26744,feeling off lately,Suicidal
26745,feeling off lately,Suicidal
26746,feeling off lately,Suicidal
26747,feeling off lately,Suicidal
26748,want to stay in bed all day,Depression
26749,want to stay in bed all day,Depression
26750,feeling off lately,Suicidal
26751,feeling off lately,Suicidal
26752,don't enjoy things anymore,Depression
26753,feeling off lately,Suicidal
26754,feeling off lately,Suicidal
26755,everything feels pointless,Depression
26756,feeling empty inside,Depression
26757,feeling off lately,Suicidal
26758,hard to smile lately,Depression
26759,no appetite to eat,Depression
26760,everything feels pointless,Depression
26761,feeling off lately,Suicidal
26762,hard to smile lately,Depression
26763,everything feels pointless,Depression
26764,hard to smile lately,Depression
26765,feeling off lately,Suicidal
26766,feeling off lately,Suicidal
26767,no appetite to eat,Depression
26768,feeling low and withdrawn,Depression
26769,feeling off lately,Suicidal
26770,feeling off lately,Suicidal
26771,don't enjoy things anymore,Depression
26772,feeling off lately,Suicidal
26773,everything feels pointless,Depression
26774,feeling off lately,Suicidal
26775,feeling low and withdrawn,Depression
26776,hard to smile lately,Depression
26777,no appetite to eat,Depression
26778,no appetite to eat,Depression
26779,hard to smile lately,Depression
26780,feeling off lately,Suicidal
26781,feeling empty inside,Depression
26782,feeling off lately,Suicidal
26783,feeling off lately,Suicidal
26784,feeling off lately,Suicidal
26785,no motivation to get up,Depression
26786,feeling off lately,Suicidal
26787,hard to smile lately,Depression
26788,tired even after sleep,Depression
26789,feeling off lately,Suicidal
26790,feeling off lately,Suicidal
26791,feeling off lately,Suicidal
26792,feeling off lately,Suicidal
26793,feeling low and withdrawn,Depression
26794,feeling off lately,Suicidal
26795,feeling off lately,Suicidal
26796,feeling off lately,Suicidal
26797,everything feels pointless,Depression
26798,feeling off lately,Suicidal
26799,feeling off lately,Suicidal
26800,no appetite to eat,Depression
26801,feeling off lately,Suicidal
26802,feeling off lately,Suicidal
26803,everything feels heavy,Depression
26804,feeling off lately,Suicidal
26805,feeling off lately,Suicidal
26806,feeling off lately,Suicidal
26807,everything feels heavy,Depression
26808,feeling off lately,Suicidal
26809,feeling off lately,Suicidal
26810,feeling off lately,Suicidal
26811,feeling off lately,Suicidal
26812,want to stay in bed all day,Depression
26813,feeling off lately,Suicidal
26814,no motivation to get up,Depression
26815,feeling off lately,Suicidal
26816,feeling off lately,Suicidal
26817,everything feels heavy,Depression
26818,feeling low and withdrawn,Depression
26819,no appetite to eat,Depression
26820,hard to smile lately,Depression
26821,feeling off lately,Suicidal
26822,feeling off lately,Suicidal
26823,no motivation to get up,Depression
26824,feeling off lately,Suicidal
26825,feeling off lately,Suicidal
26826,everything feels pointless,Depression
26827,feeling off lately,Suicidal
26828,no appetite to eat,Depression
26829,feeling off lately,Suicidal
26830,feeling off lately,Suicidal
26831,no appetite to eat,Depression
26832,hard to smile lately,Depression
26833,everything feels pointless,Depression
26834,tired even after sleep,Depression
26835,don't enjoy things anymore,Depression
26836,feeling off lately,Suicidal
26837,no appetite to eat,Depression
26838,want to stay in bed all day,Depression
26839,feeling off lately,Suicidal
26840,feeling off lately,Suicidal
26841,feeling low and withdrawn,Depression
26842,feeling off lately,Suicidal
26843,feeling off lately,Suicidal
26844,feeling off lately,Suicidal
26845,no motivation to get up,Depression
26846,feeling empty inside,Depression
26847,feeling off lately,Suicidal
26848,don't enjoy things anymore,Depression
26849,no appetite to eat,Depression
26850,no appetite to eat,Depression
26851,feeling off lately,Suicidal
26852,feeling off lately,Suicidal
26853,everything feels heavy,Depression
26854,feeling off lately,Suicidal
26855,feeling off lately,Suicidal
26856,want to stay in bed all day,Depression
26857,feeling off lately,Suicidal
26858,feeling low and withdrawn,Depression
26859,feeling off lately,Suicidal
26860,feeling off lately,Suicidal
26861,feeling off lately,Suicidal
26862,feeling off lately,Suicidal
26863,no motivation to get up,Depression
26864,feeling off lately,Suicidal
26865,everything feels heavy,Depression
26866,everything feels heavy,Depression
26867,feeling empty inside,Depression
26868,feeling off lately,Suicidal
26869,everything feels pointless,Depression
26870,feeling empty inside,Depression
26871,don't enjoy things anymore,Depression
26872,feeling empty inside,Depression
26873,feeling off lately,Suicidal
26874,feeling off lately,Suicidal
26875,everything feels pointless,Depression
26876,feeling off lately,Suicidal
26877,feeling off lately,Suicidal
26878,everything feels heavy,Depression
26879,no motivation to get up,Depression
26880,feeling off lately,Suicidal
26881,everything feels pointless,Depression
26882,feeling off lately,Suicidal
26883,feeling off lately,Suicidal
26884,feeling off lately,Suicidal
26885,everything feels pointless,Depression
26886,hard to smile lately,Depression
26887,don't enjoy things anymore,Depression
26888,feeling off lately,Suicidal
26889,feeling low and withdrawn,Depression
26890,feeling off lately,Suicidal
26891,feeling off lately,Suicidal
26892,feeling empty inside,Depression
26893,feeling off lately,Suicidal
26894,feeling off lately,Suicidal
26895,feeling off lately,Suicidal
26896,want to stay in bed all day,Depression
26897,feeling off lately,Suicidal
26898,feeling off lately,Suicidal
26899,feeling off lately,Suicidal
26900,don't enjoy things anymore,Depression
26901,want to stay in bed all day,Depression
26902,feeling off lately,Suicidal
26903,no appetite to eat,Depression
26904,feeling off lately,Suicidal
26905,feeling off lately,Suicidal
26906,feeling off lately,Suicidal
26907,no motivation to get up,Depression
26908,feeling off lately,Suicidal
26909,feeling empty inside,Depression
26910,feeling off lately,Suicidal
26911,no motivation to get up,Depression
26912,everything feels pointless,Depression
26913,feeling off lately,Suicidal
26914,no motivation to get up,Depression
26915,feeling empty inside,Depression
26916,feeling off lately,Suicidal
26917,feeling off lately,Suicidal
26918,feeling off lately,Suicidal
26919,no motivation to get up,Depression
26920,want to stay in bed all day,Depression
26921,don't enjoy things anymore,Depression
26922,feeling empty inside,Depression
26923,don't enjoy things anymore,Depression
26924,feeling low and withdrawn,Depression
26925,feeling off lately,Suicidal
26926,feeling off lately,Suicidal
26927,feeling off lately,Suicidal
26928,no motivation to get up,Depression
26929,no appetite to eat,Depression
26930,no appetite to eat,Depression
26931,feeling empty inside,Depression
26932,feeling off lately,Suicidal
26933,feeling off lately,Suicidal
26934,feeling off lately,Suicidal
26935,hard to smile lately,Depression
26936,no appetite to eat,Depression
26937,everything feels pointless,Depression
26938,feeling off lately,Suicidal
26939,feeling off lately,Suicidal
26940,everything feels heavy,Depression
26941,feeling off lately,Suicidal
26942,no appetite to eat,Depression
26943,feeling off lately,Suicidal
26944,feeling empty inside,Depression
26945,want to stay in bed all day,Depression
26946,feeling off lately,Suicidal
26947,tired even after sleep,Depression
26948,tired even after sleep,Depression
26949,feeling off lately,Suicidal
26950,feeling off lately,Suicidal
26951,feeling off lately,Suicidal
26952,feeling off lately,Suicidal
26953,no motivation to get up,Depression
26954,no appetite to eat,Depression
26955,feeling off lately,Suicidal
26956,feeling off lately,Suicidal
